"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","additional_info"
"Baby Bounce & Rhyme",,"Free",,06/10/09 10:30,06/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,07/10/09 10:30,07/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,13/10/09 10:30,13/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,14/10/09 10:30,14/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,20/10/09 10:30,20/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,21/10/09 10:30,21/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,27/10/09 10:30,27/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,28/10/09 10:30,28/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01782 297300",,,"Newcastle Library","The Ironmarket",,,"Newcastle",,"ST5 1AT",,FALSE,
"Baby Bounce & Rhyme",,"Free",,06/10/09 14:30,06/10/09 15:00,TRUE,"Health and Wellbeing","Class",,,,"01782 624302",,,"Silverdale Library","High Street",,,"Newcastle",,"ST5 6LY",,FALSE,
"Baby Bounce & Rhyme",,"Free",,13/10/09 14:30,13/10/09 15:00,TRUE,"Health and Wellbeing","Class",,,,"01782 624302",,,"Silverdale Library","High Street",,,"Newcastle",,"ST5 6LY",,FALSE,
"Baby Bounce & Rhyme",,"Free",,20/10/09 14:30,20/10/09 15:00,TRUE,"Health and Wellbeing","Class",,,,"01782 624302",,,"Silverdale Library","High Street",,,"Newcastle",,"ST5 6LY",,FALSE,
"Baby Bounce & Rhyme",,"Free",,23/10/09 10:00,23/10/09 10:30,TRUE,"Health and Wellbeing","Class",,,,"01782 624302",,,"Silverdale Library","High Street",,,"Newcastle",,"ST5 6LY",,FALSE,
"Baby Bounce & Rhyme",,"Free",,27/10/09 14:30,27/10/09 15:00,TRUE,"Health and Wellbeing","Class",,,,"01782 624302",,,"Silverdale Library","High Street",,,"Newcastle",,"ST5 6LY",,FALSE,
"Baby Bounce & Rhyme",,"Free",,07/10/09 14:15,07/10/09 14:45,TRUE,"Health and Wellbeing","Class",,,,"01782 782200",,,"Talke Library","Chester Road",,,"Talke",,"ST7 1SW",,FALSE,
"Baby Bounce & Rhyme",,"Free",,14/10/09 14:15,14/10/09 14:45,TRUE,"Health and Wellbeing","Class",,,,"01782 782200",,,"Talke Library","Chester Road",,,"Talke",,"ST7 1SW",,FALSE,
"Baby Bounce & Rhyme",,"Free",,22/10/09 14:15,22/10/09 14:45,TRUE,"Health and Wellbeing","Class",,,,"01782 782200",,,"Talke Library","Chester Road",,,"Talke",,"ST7 1SW",,FALSE,
"Baby Bounce amd Rhyme based on My Favourite Nursery Rhyme",,"Free",,06/10/09 10:30,06/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01253 736745",,,"Lytham Library","27 Clifton Street",,,"Lytham St Annes",,"FY8 5EP",,FALSE,
"Baby Bounce and Rhyme",,"Free",,09/10/09 11:00,09/10/09 11:30,TRUE,"Health and Wellbeing","Class",,"Contact library for more details.",,"01772 321 820",,,"Clayton Green Library","Clayton Business Park, Library Road",,"Clayton Green, Clayton le Woods","Chorley",,"PR6 7EN",,FALSE,
"Baby Bounce and Rhyme",,"Free",,09/10/09 10:30,09/10/09 11:00,TRUE,"Health and Wellbeing","Class",,"Contact library for more details.",,"01772 744457",,,"Kingsfold Library","Hawksbury Drive",,"Penwortham","Preston",,"PR1 9EJ",,FALSE,
"Baby Bounce and Rhyme",,"Free",,09/10/09 10:30,09/10/09 11:00,TRUE,"Health and Wellbeing","Class",,"Contact library for more details.",,"01772 617401",,,"Longton Library","Liverpool Road",,"Longton","Preston",,"PR4 5HA",,FALSE,
"Baby Bounce and Rhyme","Contact library for more details.","Free",,08/10/09 10:45,08/10/09 11:15,TRUE,"Health and Wellbeing","Class",,,,"01772 432804",,,"Leyland Library","Lancaster Gate",,"Leyland","Preston",,"PR25 2EX",,FALSE,
"Baby Bounce and Rhyme",,"Free",,08/10/09 10:30,08/10/09 11:00,TRUE,"Health and Wellbeing","Class",,,,"01282 437115",,,"Burnley Library","Grimshaw Street",,,"Burnley",,"BB11 2BD",,FALSE,
