"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","more_info"
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,24/10/09 10:30,24/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,25/10/09 10:30,25/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,26/10/09 10:30,26/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,27/10/09 10:30,27/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,28/10/09 10:30,28/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,29/10/09 10:30,29/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,30/10/09 10:30,30/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A day in the life of...","Follow London's history from prehistory to the Great Fire of London. Everyday in October half term we are offering drop-in hands-on activities and workshops in our fantastic new Clore Learning Centre.","Free",,31/10/09 10:30,31/10/09 16:00,TRUE,"Heritage and History","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
"A Day of Fun for all the Family: do something different...learn something new...","Workshop includes: storytelling, theatre skills, multisport, dance, animation,circus skills, environmental arts and crafts, survival and camp skills, ukulele and junk band,bee keeping and kite making.","Free",,10/10/09 10:00,10/10/09 16:30,TRUE,"Culture, Arts & Crafts","Workshop",,"Brian Cunningham",,"01837 52866",,,"Okehampton Primary School","Glendale Rd",,,"Okehampton",,"EX20 1JB","Family Learning Festival",TRUE,
"A special chore","Would you like to be a Roman slave cleaning your owner's mosaic floor? Why not spend a few minutes to help our conservators clean the Bucklersbury mosaic in the Roman London gallery? This a rare opportunity to walk on a floor used by Roman Londoners over 2000 years ago.","Free",,27/10/09 10:30,27/10/09 10:50,TRUE,"Community Action","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN","Family Learning Festival",TRUE,
